Country,Clicks,Impressions,CTR,Position
India,793,78454,1.01%,10.21
United States,3,4021,0.07%,14.08
Nepal,3,19,15.79%,7.53
United Kingdom,2,379,0.53%,18.73
Canada,1,347,0.29%,20.34
Germany,1,66,1.52%,10.36
Palestine,1,10,10%,49.5
South Korea,1,7,14.29%,18.14
Australia,0,255,0%,20.44
Brazil,0,130,0%,15.82
United Arab Emirates,0,108,0%,9.7
South Africa,0,77,0%,19.27
Pakistan,0,61,0%,17.85
New Zealand,0,61,0%,25.52
Ireland,0,55,0%,24.58
Netherlands,0,53,0%,9.34
Singapore,0,51,0%,11.49
Italy,0,49,0%,13.43
Saudi Arabia,0,48,0%,10.27
France,0,40,0%,12.22
Philippines,0,33,0%,18.15
Iraq,0,31,0%,15.13
Malaysia,0,30,0%,10.57
Sweden,0,29,0%,10.9
Indonesia,0,28,0%,18.04
Oman,0,22,0%,9
Thailand,0,22,0%,10.23
Kuwait,0,21,0%,15.38
Unknown Region,0,20,0%,7.45
Sri Lanka,0,19,0%,7.47
Qatar,0,19,0%,8.11
Argentina,0,19,0%,12.84
Mexico,0,18,0%,10.39
Bangladesh,0,17,0%,9.47
Turkey,0,16,0%,18.12
Ukraine,0,15,0%,15.07
Spain,0,14,0%,6.21
Venezuela,0,13,0%,11.54
Poland,0,13,0%,12.54
Hong Kong,0,12,0%,9.67
Egypt,0,12,0%,13
Ghana,0,12,0%,24.42
Japan,0,11,0%,8.64
Vietnam,0,11,0%,16
Bahrain,0,10,0%,9.7
Peru,0,10,0%,12.8
Nigeria,0,10,0%,35.7
Iran,0,9,0%,8.22
Kenya,0,9,0%,12
Morocco,0,9,0%,16.33
Belgium,0,8,0%,8.88
Cameroon,0,8,0%,9.38
Lithuania,0,7,0%,7.57
Romania,0,7,0%,15.29
Trinidad & Tobago,0,7,0%,17.14
Algeria,0,7,0%,32.29
Taiwan,0,6,0%,9
Austria,0,6,0%,9.67
Mauritius,0,6,0%,12.83
Greece,0,6,0%,16
Chile,0,6,0%,17.33
Bhutan,0,5,0%,6.2
Jordan,0,5,0%,8
Finland,0,5,0%,10
Myanmar (Burma),0,5,0%,11.2
Puerto Rico,0,5,0%,13
Uzbekistan,0,5,0%,13.6
Syria,0,5,0%,15.6
Ethiopia,0,5,0%,21
Russia,0,5,0%,30.6
Israel,0,5,0%,30.8
Czechia,0,5,0%,39.8
Senegal,0,4,0%,8.75
Uruguay,0,4,0%,10.75
Switzerland,0,4,0%,12
Ecuador,0,4,0%,13.25
Colombia,0,4,0%,17.25
Norway,0,4,0%,19.25
Jamaica,0,4,0%,23.75
Kazakhstan,0,3,0%,3
Macedonia,0,3,0%,6.33
Serbia,0,3,0%,7.33
Maldives,0,3,0%,9.67
Albania,0,3,0%,15.67
Costa Rica,0,3,0%,21.67
Denmark,0,3,0%,22
Portugal,0,2,0%,4
Bulgaria,0,2,0%,8
Bolivia,0,2,0%,8
Malta,0,2,0%,8
Somalia,0,2,0%,8.5
Cambodia,0,2,0%,9
Croatia,0,2,0%,9.5
China,0,2,0%,10
Uganda,0,2,0%,10
Burkina Faso,0,2,0%,15.5
Paraguay,0,2,0%,15.5
Tunisia,0,2,0%,15.5
Belarus,0,2,0%,26.5
Azerbaijan,0,2,0%,27.5
Laos,0,1,0%,1
Moldova,0,1,0%,2
Estonia,0,1,0%,4
Hungary,0,1,0%,4
Lebanon,0,1,0%,4
Angola,0,1,0%,5
Bosnia & Herzegovina,0,1,0%,5
Slovakia,0,1,0%,5
Kyrgyzstan,0,1,0%,6
Latvia,0,1,0%,6
Kosovo,0,1,0%,7
Dominican Republic,0,1,0%,8
Malawi,0,1,0%,8
Nicaragua,0,1,0%,8
Zambia,0,1,0%,8
Macau,0,1,0%,9
Mongolia,0,1,0%,10
El Salvador,0,1,0%,10
Georgia,0,1,0%,12
Libya,0,1,0%,19
Barbados,0,1,0%,20
Bahamas,0,1,0%,22
Gabon,0,1,0%,25
Guatemala,0,1,0%,30
Panama,0,1,0%,45
Tanzania,0,1,0%,76
