Top pages,Clicks,Impressions,CTR,Position
https://antidote.fit/clinic/view/skinwise-9-1750439591,527,6040,8.73%,7.8
https://antidote.fit/,49,283,17.31%,2.51
https://antidote.fit/clinic/view/dr-pooja-reddy-skin-and-hair---tran,9,278,3.24%,6.19
https://antidote.fit/clinic/view/derma-pr-15-1750456614,8,310,2.58%,4.35
https://antidote.fit/clinic/view/dr-viveks-skin-and-hair-clinic,5,319,1.57%,8.78
https://antidote.fit/clinic/view/skinsere-2-1750438463,5,122,4.1%,5.02
https://antidote.fit/clinic/view/brunda-s-20-1750440694,4,218,1.83%,6.39
https://antidote.fit/clinic/view/arvin-cl-13-1750438551,4,138,2.9%,5.87
https://antidote.fit/clinic/view/dr-tupe--6-1750455246,3,213,1.41%,11.86
https://antidote.fit/clinic/view/skin-miracle-10-1750458392,3,141,2.13%,7.65
https://antidote.fit/clinic/view/niya-skin-clinic-|-best-skin-and-hair-cl,2,268,0.75%,5.96
https://antidote.fit/clinic/view/iskins-skin-and-hair-clinic,2,216,0.93%,5.79
https://antidote.fit/clinic/view/dr-neha-vani----19-1750461579,2,170,1.18%,11.25
https://antidote.fit/clinic/view/diksha-skin-clinic-d,2,146,1.37%,6.36
https://antidote.fit/clinic/view/symmetry-den-0-1750458656,2,90,2.22%,14.07
https://antidote.fit/clinic/view/truly-derma--16-1750459048,2,86,2.33%,7.16
https://antidote.fit/clinic/view/deepti-nadiminti-aesthetics-gachibowli,2,78,2.56%,7.58
https://antidote.fit/clinic/view/tc-aesthetic-17-1750458723,2,68,2.94%,5.79
https://antidote.fit/clinic/view/skinovations---rejuvenati-8-1750492351,2,65,3.08%,5.32
https://antidote.fit/clinic/view/pinnacle-hea-0-1750458598,2,58,3.45%,3.28
https://antidote.fit/clinic/view/skinnohair-a-15-1750459680,2,41,4.88%,7.9
https://antidote.fit/clinic/view/dr-moupi-13-1750438433,2,40,5%,10
https://antidote.fit/clinic/view/hair-revive-clinic-santosh-nag,2,38,5.26%,5.95
https://antidote.fit/clinic/view/dr.ch.srikanth,2,37,5.41%,5.65
https://antidote.fit/clinic/view/alc---skin-and-hair-studio,2,31,6.45%,8.16
https://antidote.fit/clinic/view/dr-susha-8-1750439491,2,30,6.67%,7.37
https://antidote.fit/signup,2,25,8%,32.04
https://antidote.fit/clinic/view/srinivasa-skin-and-v.d.cl,2,24,8.33%,5.08
https://antidote.fit/face-analysis/,2,19,10.53%,8.05
https://antidote.fit/clinic/view/shiv-dental--15-1750458353,2,13,15.38%,5.54
https://antidote.fit/clinic/view/faces-skin-and-hair-care,2,6,33.33%,5.5
https://antidote.fit/clinic/view/calyx-sk-22-1750438444,1,704,0.14%,9.98
https://antidote.fit/clinic/view/avah-skin-and-hair-clinic-khajaguda,1,490,0.2%,10.64
https://antidote.fit/clinic/view/glow-up----5-1750438360,1,484,0.21%,7.24
https://antidote.fit/clinic/view/dna-skin-c-7-1750438304,1,471,0.21%,7.9
https://antidote.fit/clinic/view/dr-keshavs-18-1750438365,1,387,0.26%,11.67
https://antidote.fit/clinic/view/looks-ha-23-1750438492,1,374,0.27%,1.43
https://antidote.fit/clinic/view/ziur---s-23-1750438613,1,282,0.35%,10.78
https://antidote.fit/clinic/view/dermasure-by-dr-dhyey-sha-18-1750492174,1,261,0.38%,10.24
https://antidote.fit/clinic/view/the-monk-spa,1,255,0.39%,8.56
https://antidote.fit/clinic/view/oliva-sk-10-1750438474,1,255,0.39%,11.58
https://antidote.fit/clinic/view/viswasa-skin---hair-clinic---dermat,1,245,0.41%,10.08
"https://antidote.fit/clinic/view/anoos-a-s-rao-nagar:-laser-hair-removal,",1,232,0.43%,8.56
https://antidote.fit/clinic/view/skin-lovers--5-1750457289,1,220,0.45%,6.8
https://antidote.fit/clinic/view/arshi-skin-and-hair-clinic---gachib,1,207,0.48%,12.2
https://antidote.fit/clinic/view/venkateswara-skin-&-,1,206,0.49%,10.18
https://antidote.fit/clinic/view/s-care-cosme-5-1750458676,1,205,0.49%,11.62
https://antidote.fit/clinic/view/dr-jay-m-5-1750455245,1,201,0.5%,34.64
https://antidote.fit/clinic/view/dr-sneha-ray-karmaka-0-1750490030,1,200,0.5%,11.61
https://antidote.fit/clinic/view/treta-derma-skin-and-2-1750461769,1,193,0.52%,5.36
https://antidote.fit/clinic/view/vanitha-child-care-and-skin-clinic,1,188,0.53%,6.72
https://antidote.fit/clinic/view/clariv---6-1750439290,1,182,0.55%,8.25
https://antidote.fit/clinic/view/august-s-21-1750438853,1,175,0.57%,14.97
https://antidote.fit/clinic/view/dr-showrya-gadde-dermatology-and-wellnes,1,167,0.6%,9.74
https://antidote.fit/clinic/view/thaya-body-spa-,1,139,0.72%,6.24
https://antidote.fit/clinic/view/vcare-hair-and-skin-clini,1,139,0.72%,9.07
https://antidote.fit/clinic/view/medaes-skin--1-1750457642,1,126,0.79%,10.07
https://antidote.fit/clinic/view/dr-abhilash-nali,1,124,0.81%,14.09
https://antidote.fit/clinic/view/eternal-radianc-9-1750460452,1,122,0.82%,8.86
https://antidote.fit/clinic/view/epidermc-16-1750455476,1,116,0.86%,9.95
https://antidote.fit/clinic/view/vrudhii--14-1750438601,1,114,0.88%,6.75
https://antidote.fit/clinic/view/dental-divin-12-1750459804,1,108,0.93%,10.84
https://antidote.fit/clinic/view/rejuvea-aesthetic-cl-7-1750489975,1,104,0.96%,11.12
https://antidote.fit/clinic/view/myra-skin--h-7-1750457804,1,102,0.98%,11.56
https://antidote.fit/clinic/view/aestheti-9-1750438728,1,101,0.99%,9.29
https://antidote.fit/clinic/view/cutis-hospital-,1,91,1.1%,18.08
https://antidote.fit/clinic/view/shree-trading-co--be-7-1750461815,1,88,1.14%,8.98
"https://antidote.fit/clinic/view/kaya-clinic---indiranagar,-ben",1,85,1.18%,9.33
https://antidote.fit/clinic/view/bio-revive-by-s-14-1750461077,1,84,1.19%,9.77
https://antidote.fit/clinic/view/dr-rajasekhar-madala---best-cosmetic-and-plastic-s,1,84,1.19%,12.05
https://antidote.fit/clinic/view/forever-living-products-a-11-1750491886,1,83,1.2%,7.93
https://antidote.fit/clinic/view/derma-hub-clinic-dr-azheel--skin-|-aesth,1,80,1.25%,10.3
https://antidote.fit/clinic/view/nn-derma-5-1750456343,1,78,1.28%,9.44
https://antidote.fit/clinic/view/dr-namra-3-1750455404,1,78,1.28%,10.81
https://antidote.fit/clinic/view/diwi-health--3-1750457742,1,75,1.33%,5.47
https://antidote.fit/clinic/view/layers-clinic---dils,1,74,1.35%,5.53
https://antidote.fit/clinic/view/elantis-aest-5-1750457990,1,74,1.35%,7.88
https://antidote.fit/clinic/view/zenith-aestheti,1,73,1.37%,7.66
https://antidote.fit/clinic/view/igraft-hair-transplant-cl,1,73,1.37%,7.95
https://antidote.fit/clinic/view/claris-derma---advanced-skin-h,1,70,1.43%,6.59
https://antidote.fit/clinic/view/the-bomb-5-1750456396,1,70,1.43%,11.61
https://antidote.fit/clinic/view/dr-vishal-chugh-13-1750492666,1,70,1.43%,17.26
https://antidote.fit/clinic/view/nsfa-academy-18-1750461903,1,69,1.45%,8.97
https://antidote.fit/clinic/view/mirai-skin--hair-clinic-0-1750491031,1,67,1.49%,12.42
https://antidote.fit/clinic/view/dr-geethika-vakati---breast-surgeon---on,1,66,1.52%,5.59
https://antidote.fit/clinic/view/dr-candy-gar-0-1750457156,1,66,1.52%,9.11
https://antidote.fit/clinic/view/zenith-aesthetic-care--arekere,1,65,1.54%,6.71
https://antidote.fit/clinic/view/derma-hub-clinic-dr-hiba-shakeer-skin---hair-,1,65,1.54%,7.12
https://antidote.fit/clinic/view/janak-the-be-11-1750459459,1,65,1.54%,10.4
https://antidote.fit/clinic/view/dr-syed-md---3-1750458369,1,64,1.56%,9.12
https://antidote.fit/clinic/view/k2-hair--6-1750438540,1,64,1.56%,9.75
https://antidote.fit/clinic/view/truly-permanent-beau-17-1750491242,1,62,1.61%,10.16
https://antidote.fit/clinic/view/skinesis-cli-10-1750458492,1,61,1.64%,13.82
https://antidote.fit/clinic/view/astra-supe-20-1750438366,1,61,1.64%,25.69
https://antidote.fit/clinic/view/dr-megha-4-1750455186,1,60,1.67%,4.23
https://antidote.fit/clinic/view/aryan-skin--hair-clinic-16-1750493264,1,60,1.67%,8.92
